event_id,player_id,ts,amount,transactions
174,01C,2021-12-08 06:00:00,449.69,3.0
175,01C,2021-12-08 07:00:00,509.87,4.0
176,01C,2021-12-08 08:00:00,807.77,6.0
177,01C,2021-12-08 09:00:00,743.02,4.0
178,01C,2021-12-08 10:00:00,587.9,2.0
179,01C,2021-12-08 11:00:00,943.12,6.0
180,01C,2021-12-08 12:00:00,900.73,4.0
181,01C,2021-12-08 13:00:00,166.87,6.0
182,01C,2021-12-08 14:00:00,447.74,6.0
183,01C,2021-12-08 15:00:00,833.9,2.0
184,01C,2021-12-08 16:00:00,220.86,1.0
185,01C,2021-12-08 17:00:00,496.69,3.0
186,01C,2021-12-08 18:00:00,636.72,10.0
187,01C,2021-12-08 19:00:00,954.8,4.0
188,01C,2021-12-08 20:00:00,267.51,9.0
189,01C,2021-12-08 21:00:00,994.65,8.0
190,01C,2021-12-08 22:00:00,701.47,1.0
191,01C,2021-12-08 23:00:00,374.77,2.0
192,01C,2021-12-09 00:00:00,672.02,7.0
193,01C,2021-12-09 01:00:00,864.65,10.0
194,01C,2021-12-09 02:00:00,905.12,4.0
195,01C,2021-12-09 03:00:00,152.98,8.0
196,01C,2021-12-09 04:00:00,155.25,7.0
197,01C,2021-12-09 05:00:00,28.96,5.0
198,01C,2021-12-09 06:00:00,716.27,6.0
199,01C,2021-12-09 07:00:00,868.95,6.0
200,01C,2021-12-09 08:00:00,945.51,4.0
201,01C,2021-12-09 09:00:00,214.79,6.0
202,01C,2021-12-09 10:00:00,458.24,6.0
203,01C,2021-12-09 11:00:00,587.95,5.0
204,01C,2021-12-09 12:00:00,700.91,6.0
205,01C,2021-12-09 13:00:00,954.23,2.0
206,01C,2021-12-09 14:00:00,718.32,10.0
207,01C,2021-12-09 15:00:00,257.64,4.0
208,01C,2021-12-09 16:00:00,420.82,3.0
209,01C,2021-12-09 17:00:00,145.77,2.0
210,01C,2021-12-09 18:00:00,375.13,5.0
211,01C,2021-12-09 19:00:00,874.18,6.0
212,01C,2021-12-09 20:00:00,527.39,9.0
213,01C,2021-12-09 21:00:00,379.25,4.0
214,01C,2021-12-09 22:00:00,762.0,8.0
215,01C,2021-12-09 23:00:00,84.23,4.0
216,01C,2021-12-10 00:00:00,813.64,4.0
217,01C,2021-12-10 01:00:00,663.95,7.0
218,01C,2021-12-10 02:00:00,96.55,3.0
219,01C,2021-12-10 03:00:00,561.82,10.0
220,01C,2021-12-10 04:00:00,572.72,10.0
221,01C,2021-12-10 05:00:00,412.94,8.0
222,01C,2021-12-10 06:00:00,370.75,7.0
223,01C,2021-12-10 07:00:00,962.29,3.0
224,01C,2021-12-10 08:00:00,898.65,7.0
225,01C,2021-12-10 09:00:00,323.74,8.0
226,01C,2021-12-10 10:00:00,50.66,9.0
227,01C,2021-12-10 11:00:00,782.51,6.0
228,01C,2021-12-10 12:00:00,331.61,4.0
229,01C,2021-12-10 13:00:00,666.11,9.0
230,01C,2021-12-10 14:00:00,747.95,1.0
231,01C,2021-12-10 15:00:00,727.27,5.0
232,01C,2021-12-10 16:00:00,948.15,5.0
233,01C,2021-12-10 17:00:00,112.35,2.0
234,01C,2021-12-10 18:00:00,396.34,6.0
235,01C,2021-12-10 19:00:00,516.82,7.0
236,01C,2021-12-10 20:00:00,789.48,8.0
237,01C,2021-12-10 21:00:00,490.64,5.0
238,01C,2021-12-10 22:00:00,820.5,6.0
239,01C,2021-12-10 23:00:00,346.03,3.0
240,01C,2021-12-11 00:00:00,180.03,4.0
241,01C,2021-12-11 01:00:00,467.11,2.0
242,01C,2021-12-11 02:00:00,405.81,7.0
243,01C,2021-12-11 03:00:00,490.96,2.0
244,01C,2021-12-11 04:00:00,99.36,9.0
245,01C,2021-12-11 05:00:00,986.88,7.0
246,01C,2021-12-11 06:00:00,844.59,8.0
247,01C,2021-12-11 07:00:00,516.82,8.0
248,01C,2021-12-11 08:00:00,18.54,10.0
249,01C,2021-12-11 09:00:00,273.3,1.0
250,01C,2021-12-11 10:00:00,609.51,8.0
251,01C,2021-12-11 11:00:00,424.34,2.0
252,01C,2021-12-11 12:00:00,376.96,8.0
253,01C,2021-12-11 13:00:00,540.92,9.0
254,01C,2021-12-11 14:00:00,275.64,7.0
255,01C,2021-12-11 15:00:00,545.11,3.0
256,01C,2021-12-11 16:00:00,800.65,9.0
257,01C,2021-12-11 17:00:00,359.86,2.0
258,01C,2021-12-11 18:00:00,469.89,6.0
259,01C,2021-12-11 19:00:00,782.38,2.0
260,01C,2021-12-11 20:00:00,15.42,8.0
261,01C,2021-12-11 21:00:00,829.74,6.0
262,01C,2021-12-11 22:00:00,890.8,7.0
263,01C,2021-12-11 23:00:00,815.94,1.0
264,01C,2021-12-12 00:00:00,26.87,9.0
265,01C,2021-12-12 01:00:00,442.06,10.0
266,01C,2021-12-12 02:00:00,307.25,7.0
267,01C,2021-12-12 03:00:00,226.93,7.0
268,01C,2021-12-12 04:00:00,773.5,9.0
269,01C,2021-12-12 05:00:00,321.62,8.0
270,01C,2021-12-12 06:00:00,68.39,9.0
271,01C,2021-12-12 07:00:00,484.85,2.0
272,01C,2021-12-12 08:00:00,284.0,7.0
273,01C,2021-12-12 09:00:00,505.18,6.0
274,01C,2021-12-12 10:00:00,812.23,2.0
275,01C,2021-12-12 11:00:00,652.41,5.0
276,01C,2021-12-12 12:00:00,525.01,5.0
277,01C,2021-12-12 13:00:00,726.17,7.0
278,01C,2021-12-12 14:00:00,565.41,4.0
279,01C,2021-12-12 15:00:00,499.38,6.0
280,01C,2021-12-12 16:00:00,828.16,6.0
281,01C,2021-12-12 17:00:00,516.53,3.0
282,01C,2021-12-12 18:00:00,302.99,5.0
283,01C,2021-12-12 19:00:00,896.45,4.0
284,01C,2021-12-12 20:00:00,741.08,4.0
285,01C,2021-12-12 21:00:00,117.33,6.0
286,01C,2021-12-12 22:00:00,73.34,10.0
287,01C,2021-12-12 23:00:00,621.01,8.0
288,01C,2021-12-13 00:00:00,477.18,5.0
289,01C,2021-12-13 01:00:00,74.85,2.0
290,01C,2021-12-13 02:00:00,707.61,10.0
291,01C,2021-12-13 03:00:00,924.23,3.0
292,01C,2021-12-13 04:00:00,253.51,9.0
293,01C,2021-12-13 05:00:00,914.61,8.0
294,01C,2021-12-13 06:00:00,74.85,7.0
295,01C,2021-12-13 07:00:00,623.99,4.0
296,01C,2021-12-13 08:00:00,615.68,7.0
297,01C,2021-12-13 09:00:00,490.57,4.0
298,01C,2021-12-13 10:00:00,171.13,4.0
299,01C,2021-12-13 11:00:00,574.96,4.0
300,01C,2021-12-13 12:00:00,33.62,9.0
301,01C,2021-12-13 13:00:00,19.43,10.0
302,01C,2021-12-13 14:00:00,168.47,3.0
303,01C,2021-12-13 15:00:00,166.18,6.0
304,01C,2021-12-13 16:00:00,323.64,9.0
305,01C,2021-12-13 17:00:00,359.09,7.0
306,01C,2021-12-13 18:00:00,924.17,8.0
307,01C,2021-12-13 19:00:00,396.4,3.0
308,01C,2021-12-13 20:00:00,437.99,3.0
309,01C,2021-12-13 21:00:00,922.63,2.0
310,01C,2021-12-13 22:00:00,398.43,9.0
311,01C,2021-12-13 23:00:00,251.98,7.0
312,01C,2021-12-14 00:00:00,692.21,2.0
313,01C,2021-12-14 01:00:00,697.21,4.0
314,01C,2021-12-14 02:00:00,120.42,6.0
315,01C,2021-12-14 03:00:00,516.15,7.0
316,01C,2021-12-14 04:00:00,449.14,3.0
317,01C,2021-12-14 05:00:00,997.23,6.0
318,01C,2021-12-14 06:00:00,957.6,3.0
319,01C,2021-12-14 07:00:00,840.39,7.0
320,01C,2021-12-14 08:00:00,213.47,4.0
321,01C,2021-12-14 09:00:00,634.33,8.0
322,01C,2021-12-14 10:00:00,296.39,5.0
323,01C,2021-12-14 11:00:00,75.11,4.0
324,01C,2021-12-14 12:00:00,33.64,5.0
325,01C,2021-12-14 13:00:00,284.25,6.0
326,01C,2021-12-14 14:00:00,221.55,5.0
327,01C,2021-12-14 15:00:00,988.37,5.0
328,01C,2021-12-14 16:00:00,665.15,9.0
329,01C,2021-12-14 17:00:00,413.25,2.0
330,01C,2021-12-14 18:00:00,790.74,2.0
331,01C,2021-12-14 19:00:00,621.91,4.0
332,01C,2021-12-14 20:00:00,561.68,7.0
333,01C,2021-12-14 21:00:00,919.91,6.0
334,01C,2021-12-14 22:00:00,488.8,4.0
335,01C,2021-12-14 23:00:00,102.14,5.0
336,01C,2021-12-15 00:00:00,937.23,4.0
347,02X,2021-12-01 10:00:00,472.16,9.0
370,02X,2021-12-02 09:00:00,791.89,4.0
379,02X,2021-12-02 18:00:00,350.58,9.0
384,02X,2021-12-02 23:00:00,13.78,8.0
400,02X,2021-12-03 15:00:00,841.93,2.0
403,02X,2021-12-03 18:00:00,69.36,6.0
421,02X,2021-12-04 12:00:00,683.6,6.0
425,02X,2021-12-04 16:00:00,269.86,4.0
427,02X,2021-12-04 18:00:00,830.74,9.0
447,02X,2021-12-05 14:00:00,670.12,10.0
454,02X,2021-12-05 21:00:00,662.79,9.0
470,02X,2021-12-06 13:00:00,673.77,8.0
486,02X,2021-12-07 05:00:00,680.16,8.0
536,02X,2021-12-09 07:00:00,400.84,1.0
549,02X,2021-12-09 20:00:00,77.37,9.0
554,02X,2021-12-10 01:00:00,616.2,3.0
556,02X,2021-12-10 03:00:00,11.2,2.0
574,02X,2021-12-10 21:00:00,140.95,1.0
578,02X,2021-12-11 01:00:00,609.87,5.0
587,02X,2021-12-11 10:00:00,920.59,5.0
633,02X,2021-12-13 08:00:00,189.98,9.0
634,02X,2021-12-13 09:00:00,626.09,9.0
669,02X,2021-12-14 20:00:00,247.05,7.0
677,05G,2021-12-01 03:00:00,626.95,3.0
683,05G,2021-12-01 09:00:00,111.9,8.0
694,05G,2021-12-01 20:00:00,734.01,9.0
696,05G,2021-12-01 22:00:00,501.07,8.0
706,05G,2021-12-02 08:00:00,381.81,9.0
713,05G,2021-12-02 15:00:00,278.11,2.0
718,05G,2021-12-02 20:00:00,456.42,8.0
730,05G,2021-12-03 08:00:00,57.36,5.0
736,05G,2021-12-03 14:00:00,787.88,7.0
745,05G,2021-12-03 23:00:00,748.88,5.0
746,05G,2021-12-04 00:00:00,553.82,3.0
766,05G,2021-12-04 20:00:00,192.17,9.0
778,05G,2021-12-05 08:00:00,197.97,9.0
786,05G,2021-12-05 16:00:00,582.37,3.0
789,05G,2021-12-05 19:00:00,376.43,3.0
791,05G,2021-12-05 21:00:00,899.37,6.0
792,05G,2021-12-05 22:00:00,747.07,4.0
817,05G,2021-12-06 23:00:00,553.32,3.0
835,05G,2021-12-07 17:00:00,27.78,8.0
848,05G,2021-12-08 06:00:00,901.86,4.0
849,05G,2021-12-08 07:00:00,178.36,9.0
863,05G,2021-12-08 21:00:00,203.78,9.0
874,05G,2021-12-09 08:00:00,259.19,3.0
881,05G,2021-12-09 15:00:00,470.89,8.0
925,05G,2021-12-11 11:00:00,790.54,1.0
931,05G,2021-12-11 17:00:00,132.57,10.0
941,05G,2021-12-12 03:00:00,218.0,7.0
960,05G,2021-12-12 22:00:00,43.71,9.0
973,05G,2021-12-13 11:00:00,965.5,3.0
982,05G,2021-12-13 20:00:00,797.62,3.0
985,05G,2021-12-13 23:00:00,583.01,8.0
1018,064,2021-12-01 07:00:00,892.66,3.0
1028,064,2021-12-01 17:00:00,291.59,1.0
1034,064,2021-12-01 23:00:00,521.6,5.0
1047,064,2021-12-02 12:00:00,931.11,7.0
1048,064,2021-12-02 13:00:00,289.58,2.0
1051,064,2021-12-02 16:00:00,717.22,9.0
1068,064,2021-12-03 09:00:00,264.19,2.0
1074,064,2021-12-03 15:00:00,582.01,4.0
1078,064,2021-12-03 19:00:00,646.1,7.0
1081,064,2021-12-03 22:00:00,708.68,9.0
1085,064,2021-12-04 02:00:00,784.8,8.0
1096,064,2021-12-04 13:00:00,944.34,9.0
1150,064,2021-12-06 19:00:00,80.18,3.0
1151,064,2021-12-06 20:00:00,780.62,3.0
1165,064,2021-12-07 10:00:00,559.04,3.0
1174,064,2021-12-07 19:00:00,696.03,6.0
1197,064,2021-12-08 18:00:00,172.78,8.0
1217,064,2021-12-09 14:00:00,362.71,7.0
1222,064,2021-12-09 19:00:00,622.41,4.0
1230,064,2021-12-10 03:00:00,837.34,5.0
1232,064,2021-12-10 05:00:00,453.13,10.0
1255,064,2021-12-11 04:00:00,299.31,1.0
1259,064,2021-12-11 08:00:00,474.0,5.0
1262,064,2021-12-11 11:00:00,393.14,4.0
1294,064,2021-12-12 19:00:00,278.19,10.0
1296,064,2021-12-12 21:00:00,291.04,10.0
1303,064,2021-12-13 04:00:00,479.76,1.0
1308,064,2021-12-13 09:00:00,668.0,9.0
1319,064,2021-12-13 20:00:00,315.64,6.0
1320,064,2021-12-13 21:00:00,290.65,3.0
1322,064,2021-12-13 23:00:00,906.27,10.0
1355,08B,2021-12-01 07:00:00,658.91,3.0
1356,08B,2021-12-01 08:00:00,49.09,10.0
1357,08B,2021-12-01 09:00:00,720.8,8.0
1362,08B,2021-12-01 14:00:00,913.66,8.0
1375,08B,2021-12-02 03:00:00,51.74,8.0
1384,08B,2021-12-02 12:00:00,609.22,4.0
1390,08B,2021-12-02 18:00:00,56.69,2.0
1396,08B,2021-12-03 00:00:00,50.39,10.0
1408,08B,2021-12-03 12:00:00,125.77,3.0
1413,08B,2021-12-03 17:00:00,238.08,5.0
1424,08B,2021-12-04 04:00:00,217.49,4.0
1433,08B,2021-12-04 13:00:00,355.66,6.0
1439,08B,2021-12-04 19:00:00,275.29,5.0
1441,08B,2021-12-04 21:00:00,50.89,7.0
1446,08B,2021-12-05 02:00:00,259.48,8.0
1447,08B,2021-12-05 03:00:00,640.3,6.0
1454,08B,2021-12-05 10:00:00,328.24,5.0
1459,08B,2021-12-05 15:00:00,729.01,6.0
1479,08B,2021-12-06 11:00:00,625.16,5.0
1504,08B,2021-12-07 12:00:00,595.19,4.0
1506,08B,2021-12-07 14:00:00,934.63,2.0
1514,08B,2021-12-07 22:00:00,631.92,7.0
1519,08B,2021-12-08 03:00:00,573.43,6.0
1520,08B,2021-12-08 04:00:00,44.08,4.0
1541,08B,2021-12-09 01:00:00,463.01,9.0
1560,08B,2021-12-09 20:00:00,961.82,8.0
1567,08B,2021-12-10 03:00:00,713.5,10.0
1568,08B,2021-12-10 04:00:00,382.2,1.0
1574,08B,2021-12-10 10:00:00,934.77,2.0
1578,08B,2021-12-10 14:00:00,391.83,2.0
1582,08B,2021-12-10 18:00:00,767.35,8.0
1592,08B,2021-12-11 04:00:00,860.19,2.0
1601,08B,2021-12-11 13:00:00,282.52,5.0
1617,08B,2021-12-12 05:00:00,297.2,8.0
1643,08B,2021-12-13 07:00:00,848.23,6.0
1714,08G,2021-12-02 05:00:00,724.13,8.0
1715,08G,2021-12-02 06:00:00,733.41,8.0
1724,08G,2021-12-02 15:00:00,510.24,5.0
1733,08G,2021-12-03 00:00:00,880.79,2.0
1751,08G,2021-12-03 18:00:00,447.92,6.0
1778,08G,2021-12-04 21:00:00,653.63,2.0
1782,08G,2021-12-05 01:00:00,665.44,2.0
1786,08G,2021-12-05 05:00:00,956.81,5.0
1796,08G,2021-12-05 15:00:00,136.59,10.0
1800,08G,2021-12-05 19:00:00,541.2,10.0
1822,08G,2021-12-06 17:00:00,163.18,1.0
1862,08G,2021-12-08 09:00:00,337.08,8.0
1867,08G,2021-12-08 14:00:00,294.9,6.0
1868,08G,2021-12-08 15:00:00,643.43,8.0
1870,08G,2021-12-08 17:00:00,743.89,6.0
1871,08G,2021-12-08 18:00:00,289.74,7.0
1886,08G,2021-12-09 09:00:00,748.25,3.0
1890,08G,2021-12-09 13:00:00,569.78,5.0
1905,08G,2021-12-10 04:00:00,15.41,5.0
1921,08G,2021-12-10 20:00:00,865.03,1.0
1927,08G,2021-12-11 02:00:00,437.0,5.0
1953,08G,2021-12-12 04:00:00,628.96,4.0
1960,08G,2021-12-12 11:00:00,573.5,7.0
1965,08G,2021-12-12 16:00:00,101.43,3.0
1991,08G,2021-12-13 18:00:00,551.95,7.0
2000,08G,2021-12-14 03:00:00,721.3,5.0
2003,08G,2021-12-14 06:00:00,731.39,8.0
2011,08G,2021-12-14 14:00:00,660.04,4.0
2019,08G,2021-12-14 22:00:00,672.67,6.0
2028,09J,2021-12-01 06:00:00,116.78,8.0
2034,09J,2021-12-01 12:00:00,980.21,8.0
2038,09J,2021-12-01 16:00:00,164.43,4.0
2054,09J,2021-12-02 08:00:00,413.38,1.0
2058,09J,2021-12-02 12:00:00,674.29,7.0
2073,09J,2021-12-03 03:00:00,721.0,2.0
2075,09J,2021-12-03 05:00:00,949.78,1.0
2084,09J,2021-12-03 14:00:00,484.87,5.0
2094,09J,2021-12-04 00:00:00,928.93,6.0
2099,09J,2021-12-04 05:00:00,925.45,6.0
2101,09J,2021-12-04 07:00:00,309.5,7.0
2107,09J,2021-12-04 13:00:00,597.01,9.0
2111,09J,2021-12-04 17:00:00,569.03,4.0
2116,09J,2021-12-04 22:00:00,599.81,3.0
2123,09J,2021-12-05 05:00:00,277.1,2.0
2134,09J,2021-12-05 16:00:00,41.85,7.0
2147,09J,2021-12-06 05:00:00,550.05,7.0
2152,09J,2021-12-06 10:00:00,193.99,2.0
2162,09J,2021-12-06 20:00:00,215.26,5.0
2163,09J,2021-12-06 21:00:00,233.45,4.0
2165,09J,2021-12-06 23:00:00,801.42,7.0
2179,09J,2021-12-07 13:00:00,564.41,7.0
2202,09J,2021-12-08 12:00:00,253.91,6.0
2205,09J,2021-12-08 15:00:00,17.39,9.0
2231,09J,2021-12-09 17:00:00,216.95,5.0
2235,09J,2021-12-09 21:00:00,513.39,6.0
2237,09J,2021-12-09 23:00:00,460.88,9.0
2246,09J,2021-12-10 08:00:00,362.55,3.0
2250,09J,2021-12-10 12:00:00,524.08,2.0
2273,09J,2021-12-11 11:00:00,261.19,9.0
2289,09J,2021-12-12 03:00:00,411.9,3.0
2298,09J,2021-12-12 12:00:00,22.7,7.0
2322,09J,2021-12-13 12:00:00,826.02,5.0
2343,09J,2021-12-14 09:00:00,789.78,2.0
2369,0CD,2021-12-01 10:00:00,26.23,9.0
2373,0CD,2021-12-01 14:00:00,328.09,3.0
2381,0CD,2021-12-01 22:00:00,434.19,9.0
2390,0CD,2021-12-02 07:00:00,392.22,5.0
2400,0CD,2021-12-02 17:00:00,289.79,9.0
2416,0CD,2021-12-03 09:00:00,283.89,9.0
2436,0CD,2021-12-04 05:00:00,903.04,8.0
2468,0CD,2021-12-05 13:00:00,47.56,7.0
2494,0CD,2021-12-06 15:00:00,842.5,2.0
2498,0CD,2021-12-06 19:00:00,462.13,3.0
2500,0CD,2021-12-06 21:00:00,485.02,6.0
2502,0CD,2021-12-06 23:00:00,807.17,7.0
